Order_ID,Order_Date,Sales_Channel,Region,Gender_Category,Product_Line,Product_Name,Product_Type,Size_Type,Clean_Size,Clean_units,Clean_MRP,Clean_Discount,New_Revenue ,Profit,Profit_category,Row_Check
2043,3/5/2025,Online,Hyderabad,Kids,Soccer,Tiempo Legend,Shoe,Numeric,12,Missing,"$5,553.88",64.03%,$0.00,2371.66,High_Profit,Needs_Review
2044,4/19/2025,Online,Hyderabad,Women,Basketball,Kyrie Flytrap,Shoe,Numeric,10,Missing,"$5,597.17",62.60%,$0.00,-862.16,Loss,Needs_Review
2045,5/2/2024,Retail,Delhi,Men,Soccer,Premier III,Shoe,Numeric,10,Missing,"$3,492.89",77.00%,$0.00,3770.75,High_Profit,Needs_Review
2046,9/6/2023,Online,Delhi,Kids,Training,SuperRep Go,Clothing,Text,M,Missing,"$5,642.50",60.19%,$0.00,2174.71,High_Profit,Needs_Review
2047,4/6/2025,Retail,Delhi,Kids,Lifestyle,Dunk Low,Clothing,Text,XL,4.00,"$6,079.66",65.40%,$0.00,1833.94,High_Profit,Clean
2048,4/6/2025,Online,Kolkata,Kids,Running,Air Zoom,Shoe,Numeric,12,Missing,"$5,924.06",Invalid_Check,$0.00,1284.33,High_Profit,Needs_Review
2049,6/13/2024,Retail,Bangalore,Women,Training,SuperRep Go,Clothing,Text,M,1.00,"$8,577.75",60.19%,"$8,577.75",2888.68,High_Profit,Clean
2050,10/27/2024,Online,Bangalore,Women,Basketball,Air Jordan,Shoe,Numeric,10,Missing,"$6,123.52",62.60%,$0.00,2875.86,High_Profit,Needs_Review
2051,10/27/2024,Retail,Pune,Kids,Soccer,Tiempo Legend,Shoe,Numeric,10,1.00,"$7,767.20",64.03%,"$7,767.20",311.48,Low_Profit,Clean
2052,,Retail,Kolkata,Men,Running,Air Zoom,Shoe,Numeric,10,1.00,"$5,924.06",57.00%,$0.00,682.12,High_Profit,Clean
2053,1/5/2024,Retail,Delhi,Women,Basketball,Air Jordan,Shoe,Numeric,10,Missing,"$6,123.52",37.00%,$0.00,3135.98,High_Profit,Needs_Review
2054,10/8/2024,Retail,Pune,Men,Training,Flex Trainer,Clothing,Text,M,3.00,"$9,155.96",60.19%,"$27,467.88",2184.8,High_Profit,Clean
2055,10/2/2024,Online,Delhi,Men,Lifestyle,Air Force 1,Clothing,Text,XL,3.00,"$6,009.58",65.40%,"$18,028.74",3384.92,High_Profit,Clean
2056,6/23/2025,Online,Mumbai,Women,Training,Flex Trainer,Clothing,Text,M,Return,"$6,095.99",60.19%,$0.00,-549.76,Return_Transaction,Needs_Review
2058,10/26/2024,Online,Hyderabad,Men,Basketball,Kyrie Flytrap,Shoe,Numeric,10,Missing,"$5,597.17",62.60%,$0.00,-1078.76,Loss,Needs_Review
2059,5/31/2024,Retail,Bangalore,Men,Running,React Infinity,Shoe,Numeric,10,3.00,"$6,291.92",63.91%,$0.00,-244.44,Loss,Clean
2060,9/14/2024,Online,Mumbai,Men,Lifestyle,Waffle One,Clothing,Text,M,3.00,"$6,216.29",94.00%,"$1,118.93",-642.02,Loss,Clean
2061,9/14/2024,Online,Kolkata,Women,Training,Flex Trainer,Clothing,Text,M,Missing,"$4,985.92",60.19%,$0.00,361.54,Low_Profit,Needs_Review
2062,12/27/2023,Retail,Delhi,Kids,Soccer,Phantom GT,Shoe,Numeric,0,Return,"$9,507.54",64.03%,"-$9,507.54",291.28,Return_Transaction,Needs_Review
2063,7/11/2024,Online,Bangalore,Men,Lifestyle,Waffle One,Clothing,Text,L,2.00,"$7,979.26",65.40%,"$15,958.52",2821.59,High_Profit,Clean
2064,10/9/2024,Online,Mumbai,Women,Basketball,LeBron 20,Shoe,Numeric,10,Missing,"$6,129.75",62.60%,$0.00,-501.68,Loss,Needs_Review
2065,6/6/2025,Online,Bangalore,Men,Basketball,Air Jordan,Shoe,Numeric,0,2.00,"$6,123.52",62.60%,$0.00,1823.91,High_Profit,Clean
2066,6/9/2024,Retail,Pune,Women,Basketball,Air Jordan,Shoe,Numeric,10,1.00,"$9,751.00",16.00%,"$8,190.84",1130.31,High_Profit,Clean
2067,3/2/2025,Online,Bangalore,Kids,Running,React Infinity,Shoe,Numeric,10,2.00,"$7,557.71",63.91%,"$15,115.42",3277.44,High_Profit,Clean
2068,2/11/2024,Retail,Hyderabad,Women,Lifestyle,Waffle One,Clothing,Text,M,Missing,"$5,774.78",78.00%,$0.00,21.58,Low_Profit,Needs_Review
2069,12/10/2024,Online,Mumbai,Men,Soccer,Phantom GT,Shoe,Numeric,10,Return,"$5,259.05",64.03%,"-$5,259.05",1022.82,Return_Transaction,Needs_Review
2070,6/5/2025,Online,Kolkata,Kids,Basketball,LeBron 20,Shoe,Numeric,10,4.00,"$3,588.38",62.60%,"$14,353.52",161.5,Low_Profit,Clean
2071,12/5/2024,Retail,Mumbai,Men,Running,Free RN,Shoe,Numeric,0,4.00,"$2,553.29",63.91%,"$10,213.16",984.9,High_Profit,Clean
2072,7/14/2025,Online,Pune,Women,Training,SuperRep Go,Clothing,Text,M,Missing,"$7,502.24",60.19%,$0.00,3554.58,High_Profit,Needs_Review
2073,7/14/2025,Retail,Mumbai,Kids,Running,React Infinity,Shoe,Numeric,10,Missing,"$6,291.92",63.91%,$0.00,1112.43,High_Profit,Needs_Review
2074,1/12/2025,Retail,Pune,Kids,Lifestyle,Blazer Mid,Clothing,Text,M,3.00,"$7,849.81",49.00%,"$12,010.21",-882.96,Loss,Clean
2075,1/12/2025,Retail,Pune,Men,Training,Flex Trainer,Clothing,Text,M,3.00,"$6,095.99",60.19%,$0.00,3639.2,High_Profit,Clean
2076,3/11/2024,Online,Hyderabad,Women,Lifestyle,Blazer Mid,Clothing,Text,M,4.00,"$6,107.63",85.00%,$0.00,443.86,Low_Profit,Clean
2077,3/11/2024,Online,Kolkata,Men,Training,Flex Trainer,Clothing,Text,L,Return,"$6,095.99",57.00%,$0.00,1958.47,Return_Transaction,Needs_Review
2078,7/14/2025,Online,Pune,Kids,Basketball,Air Jordan,Shoe,Numeric,10,4.00,"$4,251.74",62.60%,"$17,006.96",2345.35,High_Profit,Clean
2079,10/13/2024,Retail,Bangalore,Women,Training,ZoomX Invincible,Clothing,Text,M,Missing,"$6,630.32",60.19%,$0.00,2011.25,High_Profit,Needs_Review
2080,11/21/2023,Online,Pune,Men,Training,ZoomX Invincible,Clothing,Text,L,Missing,"$6,630.32",60.19%,$0.00,3332.66,High_Profit,Needs_Review
2081,11/21/2023,Online,Mumbai,Women,Basketball,LeBron 20,Shoe,Numeric,0,0.00,"$6,970.47",62.60%,$0.00,262.79,Low_Profit,Clean
2083,1/19/2025,Online,Bangalore,Men,Running,Pegasus Turbo,Shoe,Numeric,10,Return,"$4,322.06",63.91%,"-$4,322.06",279.78,Return_Transaction,Needs_Review
2084,3/31/2025,Online,Bangalore,Men,Lifestyle,Blazer Mid,Clothing,Text,L,Missing,"$6,107.63",65.40%,$0.00,-1005.89,Loss,Needs_Review
2085,3/31/2025,Online,Mumbai,Men,Training,ZoomX Invincible,Clothing,Text,L,Missing,"$6,630.32",60.19%,$0.00,2810.49,High_Profit,Needs_Review
2086,2/14/2024,Online,Hyderabad,Men,Running,Free RN,Shoe,Numeric,0,Return,"$6,045.67",21.00%,$0.00,3303.01,Return_Transaction,Needs_Review
2087,10/14/2024,Retail,Delhi,Men,Running,Free RN,Shoe,Numeric,0,Missing,"$9,291.74",63.91%,$0.00,-981.21,Loss,Needs_Review
2088,12/24/2023,Online,Mumbai,Men,Training,Metcon 7,Clothing,Text,M,2.00,"$5,996.89",60.19%,$0.00,408.39,Low_Profit,Clean
2089,12/17/2024,Retail,Kolkata,Men,Basketball,Kyrie Flytrap,Shoe,Numeric,0,Missing,"$7,561.85",62.60%,$0.00,98.72,Low_Profit,Needs_Review
2090,10/11/2024,Online,Kolkata,Men,Soccer,Mercurial Superfly,Shoe,Numeric,10,0.00,"$6,211.46",45.00%,$0.00,1742.66,High_Profit,Clean
2091,11/1/2024,Online,Kolkata,Kids,Basketball,Zoom Freak,Shoe,Numeric,0,Missing,"$4,656.28",62.60%,$0.00,3777.5,High_Profit,Needs_Review
2092,4/26/2025,Online,Bangalore,Women,Running,Free RN,Shoe,Numeric,10,4.00,"$6,045.67",63.91%,$0.00,2702.93,High_Profit,Clean
2093,2/12/2024,Online,Mumbai,Women,Training,Flex Trainer,Clothing,Text,L,2.00,"$6,874.77",60.00%,"$5,499.82",-1076.66,Loss,Clean
2094,2/12/2024,Retail,Bangalore,Kids,Lifestyle,Dunk Low,Clothing,Text,M,Missing,"$6,079.66",65.40%,$0.00,163.15,Low_Profit,Needs_Review
2095,,Retail,Mumbai,Kids,Running,Air Zoom,Shoe,Numeric,11,Missing,"$9,246.88",63.91%,$0.00,1917.55,High_Profit,Needs_Review
2096,,Online,Delhi,Kids,Basketball,Zoom Freak,Shoe,Numeric,10,2.00,"$6,389.62",Invalid_Check,$0.00,207.2,Low_Profit,Needs_Review
2097,,Online,Kolkata,Men,Running,Free RN,Shoe,Numeric,10,0.00,"$6,045.67",29.00%,$0.00,-146.73,Loss,Clean
2098,10/11/2024,Retail,Delhi,Kids,Training,Flex Trainer,Clothing,Text,M,1.00,"$4,276.36",60.19%,"$4,276.36",2974.58,High_Profit,Clean
2099,10/16/2024,Online,Delhi,Men,Lifestyle,Waffle One,Clothing,Text,M,Missing,"$5,774.78",65.40%,$0.00,880.57,High_Profit,Needs_Review
2100,12/24/2024,Online,Kolkata,Men,Running,Pegasus Turbo,Shoe,Numeric,10,2.00,"$6,058.47",63.91%,$0.00,288.66,Low_Profit,Clean
2101,12/24/2024,Online,Bangalore,Women,Training,ZoomX Invincible,Clothing,Text,XL,Missing,"$7,978.89",60.19%,$0.00,769.05,High_Profit,Needs_Review
2102,1/24/2024,Online,Hyderabad,Men,Training,ZoomX Invincible,Clothing,Text,L,Missing,"$5,690.69",69.00%,$0.00,98.3,Low_Profit,Needs_Review
2103,1/2/2025,Retail,Mumbai,Kids,Soccer,Mercurial Superfly,Shoe,Numeric,10,2.00,"$6,211.46",32.00%,$0.00,360.97,Low_Profit,Clean
2104,7/11/2025,Retail,Mumbai,Kids,Soccer,Phantom GT,Shoe,Numeric,8,1.00,"$5,937.52",64.03%,"$5,937.52",2287.57,High_Profit,Clean
2105,7/3/2025,Online,Hyderabad,Kids,Running,Free RN,Shoe,Numeric,10,Missing,"$2,010.07",63.91%,$0.00,3398.01,High_Profit,Needs_Review
2106,10/4/2025,Online,Pune,Women,Soccer,Mercurial Superfly,Shoe,Numeric,10,Return,"$6,211.46",77.00%,$0.00,284.17,Return_Transaction,Needs_Review
2107,1/8/2025,Online,Kolkata,Women,Basketball,LeBron 20,Shoe,Numeric,10,Return,"$6,777.88",62.60%,"-$6,777.88",469.61,Return_Transaction,Needs_Review
2108,1/8/2025,Retail,Delhi,Men,Basketball,Kyrie Flytrap,Shoe,Numeric,0,Missing,"$5,597.17",62.60%,$0.00,2905.91,High_Profit,Needs_Review
2109,11/17/2024,Retail,Mumbai,Kids,Training,Metcon 7,Clothing,Text,M,2.00,"$5,744.70",60.19%,"$11,489.40",1716.04,High_Profit,Clean
2110,11/17/2024,Retail,Bangalore,Women,Running,Free RN,Shoe,Numeric,0,Missing,"$6,045.67",63.91%,$0.00,76.95,Low_Profit,Needs_Review
2111,8/30/2024,Online,Hyderabad,Women,Running,React Infinity,Shoe,Numeric,10,4.00,"$6,291.92",63.91%,$0.00,-184.69,Loss,Clean
2112,11/15/2024,Retail,Mumbai,Kids,Lifestyle,Air Force 1,Clothing,Text,XL,Missing,"$6,264.64",27.00%,$0.00,-338.77,Loss,Needs_Review
2113,1/29/2025,Retail,Kolkata,Kids,Basketball,Zoom Freak,Shoe,Numeric,10,0.00,"$6,389.62",62.60%,$0.00,3791.88,High_Profit,Clean
2114,12/25/2024,Retail,Pune,Kids,Running,Air Zoom,Shoe,Numeric,12,1.00,"$5,924.06",42.00%,$0.00,-259.29,Loss,Clean
2115,11/21/2024,Retail,Bangalore,Men,Lifestyle,Waffle One,Clothing,Text,M,Missing,"$5,774.78",Invalid_Check,$0.00,1326.67,High_Profit,Needs_Review
2116,11/21/2024,Retail,Bangalore,Women,Training,Metcon 7,Clothing,Text,M,Missing,"$2,201.54",60.19%,$0.00,697.42,High_Profit,Needs_Review
2117,12/19/2023,Retail,Pune,Women,Basketball,Air Jordan,Shoe,Numeric,10,Missing,"$3,939.34",62.60%,$0.00,2918.93,High_Profit,Needs_Review
2118,12/19/2023,Retail,Pune,Women,Training,Flex Trainer,Clothing,Text,XL,1.00,"$3,167.33",53.00%,"$1,488.65",1567.37,High_Profit,Clean
2119,,Online,Kolkata,Kids,Soccer,Phantom GT,Shoe,Numeric,6,2.00,"$7,607.45",64.03%,"$15,214.90",1969.03,High_Profit,Clean
2120,8/27/2024,Online,Hyderabad,Women,Basketball,LeBron 20,Shoe,Numeric,0,Missing,"$4,038.32",Invalid_Check,$0.00,2088.55,High_Profit,Needs_Review
2122,10/30/2024,Online,Pune,Women,Training,SuperRep Go,Clothing,Text,L,0.00,"$7,645.96",60.19%,$0.00,2037.43,High_Profit,Clean
2123,9/21/2023,Online,Hyderabad,Kids,Basketball,Zoom Freak,Shoe,Numeric,10,2.00,"$8,426.54",62.60%,"$16,853.08",2696.85,High_Profit,Clean
2124,5/4/2025,Retail,Kolkata,Women,Training,Metcon 7,Clothing,Text,M,Return,"$5,996.89",41.00%,$0.00,2887.81,Return_Transaction,Needs_Review
2125,12/14/2024,Retail,Pune,Men,Soccer,Phantom GT,Shoe,Numeric,12,Missing,"$6,237.40",64.03%,$0.00,-328,Loss,Needs_Review
2126,11/20/2023,Retail,Kolkata,Kids,Running,React Infinity,Shoe,Numeric,10,Return,"$6,291.92",63.91%,$0.00,929.75,Return_Transaction,Needs_Review
2127,11/20/2023,Retail,Bangalore,Kids,Soccer,Mercurial Superfly,Shoe,Numeric,0,0.00,"$6,211.46",64.03%,$0.00,1078.48,High_Profit,Clean
2128,9/15/2024,Retail,Hyderabad,Men,Running,Air Zoom,Shoe,Numeric,10,Missing,"$5,924.06",63.91%,$0.00,2195.52,High_Profit,Needs_Review
2129,4/7/2025,Online,Kolkata,Kids,Basketball,Kyrie Flytrap,Shoe,Numeric,10,Missing,"$6,436.11",Invalid_Check,$0.00,432.04,Low_Profit,Needs_Review
2130,10/12/2024,Retail,Hyderabad,Women,Soccer,Tiempo Legend,Shoe,Numeric,10,Missing,"$5,732.20",64.03%,$0.00,1051.22,High_Profit,Needs_Review
2131,12/14/2024,Retail,Pune,Kids,Running,Pegasus Turbo,Shoe,Numeric,10,Return,"$5,399.58",63.91%,"-$5,399.58",2508.34,Return_Transaction,Needs_Review
2132,8/19/2023,Online,Mumbai,Men,Training,Metcon 7,Clothing,Text,L,Return,"$4,020.50",60.19%,"-$4,020.50",3718.37,Return_Transaction,Needs_Review
2133,8/19/2023,Retail,Bangalore,Women,Basketball,LeBron 20,Shoe,Numeric,10,Missing,"$8,750.71",62.60%,$0.00,1411.29,High_Profit,Needs_Review
2134,,Retail,Delhi,Men,Basketball,Zoom Freak,Shoe,Numeric,9,Missing,"$6,389.62",62.60%,$0.00,841.4,High_Profit,Needs_Review
2135,9/14/2024,Online,Bangalore,Men,Soccer,Premier III,Shoe,Numeric,10,3.00,"$5,697.14",24.00%,$0.00,2962.75,High_Profit,Clean
2136,9/14/2024,Retail,Mumbai,Kids,Running,Free RN,Shoe,Numeric,10,Missing,"$5,561.82",63.91%,$0.00,2227.48,High_Profit,Needs_Review
2137,,Online,Delhi,Men,Running,Free RN,Shoe,Numeric,10,2.00,"$6,045.67",63.91%,$0.00,3882.22,High_Profit,Clean
2138,10/10/2024,Retail,Pune,Men,Training,Metcon 7,Clothing,Text,XL,Missing,"$6,789.53",60.19%,$0.00,-166.81,Loss,Needs_Review
2139,6/8/2024,Online,Hyderabad,Men,Training,ZoomX Invincible,Clothing,Text,M,Missing,"$4,738.62",60.19%,$0.00,1009.28,High_Profit,Needs_Review
2140,11/3/2024,Retail,Hyderabad,Men,Basketball,Zoom Freak,Shoe,Numeric,10,2.00,"$9,106.61",74.00%,"$4,735.44",2422.38,High_Profit,Clean
2141,9/15/2024,Online,Pune,Kids,Training,ZoomX Invincible,Clothing,Text,L,1.00,"$6,630.32",60.19%,$0.00,3672.24,High_Profit,Clean
2142,1/12/2025,Online,Delhi,Men,Soccer,Phantom GT,Shoe,Numeric,0,0.00,"$5,222.02",95.00%,$0.00,1796.76,High_Profit,Clean
2143,6/14/2025,Online,Mumbai,Men,Running,Pegasus Turbo,Shoe,Numeric,11,2.00,"$8,055.20",63.91%,"$16,110.40",1840.09,High_Profit,Clean
2144,6/19/2025,Retail,Mumbai,Women,Basketball,Air Jordan,Shoe,Numeric,10,Missing,"$6,123.52",62.60%,$0.00,-334.52,Loss,Needs_Review
2145,4/28/2025,Online,Bangalore,Men,Basketball,Zoom Freak,Shoe,Numeric,10,Missing,"$6,765.74",62.60%,$0.00,-875.45,Loss,Needs_Review
2146,11/22/2023,Retail,Kolkata,Kids,Soccer,Tiempo Legend,Shoe,Numeric,0,Missing,"$5,732.20",Invalid_Check,$0.00,-1032.47,Loss,Needs_Review
2147,10/3/2024,Retail,Kolkata,Kids,Soccer,Mercurial Superfly,Shoe,Numeric,0,Missing,"$6,211.46",64.03%,$0.00,-995.59,Loss,Needs_Review
2148,3/10/2025,Online,Delhi,Kids,Training,ZoomX Invincible,Clothing,Text,L,Return,"$6,630.32",60.19%,$0.00,1006.66,Return_Transaction,Needs_Review
2149,3/30/2025,Online,Kolkata,Women,Lifestyle,Waffle One,Clothing,Text,M,4.00,"$5,774.78",65.40%,$0.00,2385.1,High_Profit,Clean
2150,7/30/2024,Online,Bangalore,Men,Lifestyle,Blazer Mid,Clothing,Text,M,0.00,"$6,107.63",67.00%,$0.00,1335.45,High_Profit,Clean
2151,2/15/2025,Retail,Mumbai,Kids,Basketball,Air Jordan,Shoe,Numeric,10,Missing,"$6,123.52",Invalid_Check,$0.00,-908.85,Loss,Needs_Review
2152,9/14/2024,Online,Hyderabad,Women,Soccer,Phantom GT,Shoe,Numeric,10,Return,"$6,237.40",64.03%,$0.00,-426.53,Return_Transaction,Needs_Review
2153,6/19/2025,Online,Hyderabad,Men,Basketball,Kyrie Flytrap,Shoe,Numeric,0,Missing,"$5,597.17",62.60%,$0.00,520.55,High_Profit,Needs_Review
2154,5/20/2025,Online,Kolkata,Women,Running,Pegasus Turbo,Shoe,Numeric,0,Missing,"$6,058.47",63.91%,$0.00,-595.69,Loss,Needs_Review
2155,6/7/2025,Online,Bangalore,Women,Basketball,LeBron 20,Shoe,Numeric,10,2.00,"$3,313.21",48.00%,"$3,445.74",3221.62,High_Profit,Clean
2156,5/27/2025,Online,Bangalore,Kids,Soccer,Tiempo Legend,Shoe,Numeric,10,4.00,"$5,619.75",64.03%,"$22,479.00",2000.85,High_Profit,Clean
2157,5/27/2025,Online,Bangalore,Women,Running,Free RN,Shoe,Numeric,8,Missing,"$6,045.67",63.91%,$0.00,3819.41,High_Profit,Needs_Review
2158,8/18/2024,Retail,Pune,Men,Running,React Infinity,Shoe,Numeric,0,0.00,"$6,291.92",9.00%,$0.00,1246.58,High_Profit,Clean
2159,4/1/2025,Online,Bangalore,Kids,Lifestyle,Blazer Mid,Clothing,Text,XL,Missing,"$2,963.16",65.40%,$0.00,2381.85,High_Profit,Needs_Review
2160,4/1/2025,Online,Hyderabad,Men,Soccer,Phantom GT,Shoe,Numeric,0,3.00,"$6,237.40",64.03%,$0.00,1475.15,High_Profit,Clean
2161,8/31/2024,Online,Pune,Men,Soccer,Tiempo Legend,Shoe,Numeric,10,0.00,"$5,732.20",64.03%,$0.00,-286.07,Loss,Clean
2162,4/29/2025,Online,Delhi,Kids,Soccer,Premier III,Shoe,Numeric,0,1.00,"$5,697.14",64.03%,$0.00,-701.01,Loss,Clean
2163,1/28/2025,Online,Mumbai,Women,Running,React Infinity,Shoe,Numeric,10,Return,"$6,291.92",50.00%,$0.00,514.79,Return_Transaction,Needs_Review
2164,1/28/2025,Retail,Delhi,Women,Training,ZoomX Invincible,Clothing,Text,XL,2.00,"$3,987.65",60.19%,"$7,975.30",2781.72,High_Profit,Clean
2165,3/1/2025,Retail,Mumbai,Kids,Running,Air Zoom,Shoe,Numeric,10,Missing,"$5,924.06",63.91%,$0.00,3744.91,High_Profit,Needs_Review
2166,3/1/2025,Online,Pune,Kids,Lifestyle,Waffle One,Clothing,Text,M,0.00,"$5,119.41",80.00%,$0.00,1956.8,High_Profit,Clean
